iter	Passed	Remaining
0	19	9485
1	32	8158
2	45	7596
3	58	7298
4	71	7122
5	84	6996
6	98	6914
7	111	6864
8	124	6804
9	138	6783
10	151	6737
11	165	6710
12	178	6681
13	191	6659
14	205	6635
15	218	6600
16	231	6577
17	244	6555
18	257	6529
19	271	6507
20	284	6488
21	298	6483
22	312	6471
23	325	6448
24	340	6473
25	369	6737
26	387	6784
27	401	6765
28	415	6745
29	428	6716
30	441	6686
31	454	6654
32	468	6626
33	482	6607
34	495	6583
35	508	6560
36	522	6535
37	535	6515
38	549	6490
39	562	6470
40	576	6449
41	589	6428
42	602	6407
43	615	6381
44	628	6358
45	642	6340
46	655	6319
47	669	6299
48	682	6281
49	696	6264
50	709	6244
51	722	6223
52	736	6208
53	749	6193
54	764	6182
55	777	6163
56	790	6146
57	804	6129
58	817	6113
59	831	6094
60	844	6078
61	858	6062
62	937	6501
63	1009	6876
64	1027	6874
65	1047	6885
66	1126	7282
67	1140	7244
68	1153	7207
69	1167	7171
70	1180	7131
71	1193	7095
72	1206	7059
73	1220	7026
74	1240	7031
75	1254	6997
76	1267	6963
77	1281	6934
78	1295	6901
79	1308	6870
80	1321	6836
81	1334	6802
82	1347	6771
83	1361	6741
84	1374	6710
85	1388	6682
86	1401	6652
87	1414	6622
88	1427	6592
89	1440	6562
90	1453	6534
91	1467	6506
92	1492	6530
93	1515	6543
94	1532	6533
95	1547	6512
96	1560	6484
97	1574	6457
98	1587	6431
99	1604	6416
100	1617	6389
101	1630	6362
102	1644	6337
103	1657	6311
104	1670	6285
105	1684	6262
106	1698	6237
107	1711	6212
108	1725	6190
109	1739	6165
110	1761	6172
111	1774	6146
112	1787	6122
113	1802	6102
114	1815	6077
115	1828	6054
116	1842	6030
117	1855	6005
118	1868	5981
119	1881	5959
120	1895	5937
121	1908	5914
122	1922	5892
123	1935	5868
124	1948	5846
125	1962	5823
126	1975	5801
127	1989	5780
128	2006	5772
129	2076	5910
130	2094	5898
131	2112	5888
132	2137	5899
133	2150	5873
134	2163	5849
