iter	Passed	Remaining
0	39	39594
1	54	26991
2	69	23023
3	82	20467
4	97	19446
5	112	18592
6	125	17825
7	138	17208
8	151	16664
9	164	16249
10	177	15959
11	190	15666
12	203	15423
13	216	15225
14	228	15024
15	245	15128
16	265	15326
17	283	15477
18	301	15588
19	320	15697
20	338	15771
21	351	15617
22	363	15451
23	376	15315
24	388	15164
25	401	15039
26	413	14910
27	426	14821
28	439	14721
29	452	14636
30	465	14542
31	477	14456
32	491	14393
33	504	14322
34	517	14258
35	529	14183
36	542	14117
37	555	14057
38	567	13991
39	580	13930
40	593	13871
41	606	13826
42	619	13784
43	632	13739
44	645	13689
45	658	13652
46	670	13603
47	683	13557
48	696	13514
49	709	13479
50	723	13470
51	736	13434
52	750	13401
53	762	13359
54	775	13328
55	789	13306
56	802	13273
57	819	13315
58	839	13386
59	857	13441
60	877	13511
61	896	13565
62	916	13628
63	954	13965
64	1127	16220
65	1155	16347
66	1174	16351
67	1193	16363
68	1209	16324
69	1222	16246
70	1235	16164
71	1248	16091
72	1261	16020
73	1274	15948
74	1287	15874
75	1299	15802
76	1312	15733
77	1325	15666
78	1337	15597
79	1351	15537
80	1369	15541
81	1388	15546
82	1404	15515
83	1417	15456
84	1430	15400
85	1443	15345
86	1457	15290
87	1469	15234
88	1485	15204
89	1529	15464
90	1606	16048
91	1619	15988
92	1632	15926
93	1646	15865
94	1659	15804
95	1672	15748
96	1685	15687
97	1698	15629
98	1711	15579
99	1724	15524
100	1738	15473
101	1752	15427
102	1767	15391
103	1780	15338
104	1793	15285
105	1805	15230
106	1818	15177
107	1831	15127
108	1844	15079
109	1857	15028
110	1870	14980
111	1883	14933
112	1896	14885
113	1909	14842
114	1922	14797
115	1939	14777
116	1954	14748
117	1967	14705
118	1980	14659
119	1992	14615
120	2005	14571
121	2018	14529
122	2032	14490
123	2045	14448
124	2058	14407
125	2071	14368
126	2084	14329
127	2097	14290
128	2110	14249
129	2123	14210
130	2136	14173
131	2149	14136
132	2162	14100
133	2175	14062
134	2188	14023
135	2201	13986
136	2214	13949
137	2228	13917
138	2241	13883
139	2254	13846
140	2266	13810
141	2280	13779
142	2293	13744
143	2306	13710
144	2319	13677
145	2332	13644
146	2351	13643
147	2368	13636
148	2381	13604
149	2396	13582
150	2410	13553
151	2423	13521
152	2436	13489
153	2450	13459
154	2463	13428
155	2476	13397
156	2489	13365
157	2502	13335
158	2515	13305
159	2528	13276
160	2541	13245
161	2554	13215
162	2567	13184
163	2580	13153
164	2593	13123
165	2606	13096
166	2619	13067
167	2632	13037
168	2645	13007
169	2658	12979
170	2671	12951
171	2684	12923
172	2697	12894
173	2711	12873
174	2725	12847
175	2739	12825
176	2752	12798
177	2765	12771
178	2779	12746
179	2791	12718
180	2805	12692
181	2818	12669
182	2831	12643
183	2844	12615
184	2857	12589
185	2870	12564
186	2884	12539
187	2897	12513
188	2910	12486
189	2923	12461
190	2938	12448
191	2955	12436
192	2968	12411
193	2981	12386
194	2994	12359
195	3008	12342
196	3021	12317
197	3034	12292
198	3048	12268
199	3060	12243
200	3073	12218
201	3087	12195
202	3099	12170
203	3113	12146
204	3125	12121
205	3138	12097
206	3151	12073
207	3164	12048
208	3177	12024
209	3190	12001
210	3204	11981
211	3217	11959
212	3230	11936
213	3243	11914
214	3257	11892
215	3269	11867
216	3282	11845
217	3296	11824
218	3308	11800
219	3322	11778
220	3335	11756
221	3358	11771
222	3374	11759
223	3389	11741
224	3403	11722
225	3416	11699
226	3429	11677
227	3442	11655
228	3455	11635
229	3469	11614
230	3482	11592
231	3495	11571
232	3508	11549
233	3521	11527
234	3534	11506
235	3549	11489
236	3562	11468
237	3582	11469
238	3598	11456
239	3613	11442
240	3627	11424
241	3642	11409
242	3659	11399
243	3673	11382
244	3688	11367
245	3703	11352
246	3718	11336
247	3732	11316
248	3745	11298
249	3759	11279
250	3773	11259
251	3786	11238
252	3799	11218
253	3812	11197
254	3825	11177
255	3838	11156
256	3852	11137
257	3865	11117
258	3879	11098
259	3892	11078
260	3905	11058
261	3919	11039
262	3933	11021
263	3954	11025
264	3968	11006
265	3981	10987
266	3995	10969
267	4009	10950
268	4023	10933
269	4036	10914
270	4050	10896
271	4065	10881
272	4079	10863
273	4098	10858
274	4123	10869
275	4143	10870
276	4172	10891
277	4197	10900
278	4224	10918
279	4245	10917
280	4267	10920
281	4290	10922
282	4308	10914
283	4332	10921
284	4361	10943
285	4385	10947
286	4403	10940
287	4420	10929
288	4438	10918
289	4454	10906
290	4471	10894
291	4488	10882
292	4505	10870
293	4521	10857
294	4537	10844
295	4554	10832
296	4571	10819
297	4587	10807
298	4604	10795
299	4620	10781
300	4636	10768
301	4653	10756
302	4670	10743
303	4687	10731
304	4704	10719
305	4719	10703
306	4733	10684
307	4750	10674
308	4766	10658
309	4780	10639
310	4796	10625
311	4809	10606
312	4822	10585
313	4835	10565
314	4848	10544
315	4862	10524
316	4875	10505
317	4889	10486
318	4903	10467
319	4917	10449
320	4932	10432
321	4956	10437
322	4976	10429
323	4994	10420
324	5012	10411
325	5031	10402
326	5048	10390
327	5062	10371
328	5079	10359
329	5096	10347
330	5113	10334
331	5131	10324
332	5148	10313
333	5165	10300
334	5182	10287
335	5199	10275
336	5216	10263
337	5233	10250
338	5250	10237
339	5267	10224
340	5284	10212
341	5300	10198
342	5316	10183
343	5333	10170
344	5355	10167
345	5376	10162
346	5394	10151
347	5412	10140
348	5428	10126
349	5445	10113
350	5462	10100
351	5479	10086
352	5496	10074
353	5513	10060
354	5529	10046
355	5547	10035
356	5566	10025
357	5582	10011
358	5599	9997
359	5615	9983
360	5632	9969
361	5648	9954
362	5664	9940
363	5686	9936
364	5703	9923
365	5720	9909
366	5737	9895
367	5755	9885
368	5773	9872
369	5790	9860
370	5803	9840
371	5817	9821
372	5831	9801
373	5844	9782
374	5858	9763
375	5871	9743
376	5884	9724
377	5897	9704
378	5910	9685
379	5924	9666
380	5946	9661
381	5966	9653
382	5980	9634
383	5993	9614
384	6006	9594
385	6019	9575
386	6032	9555
387	6046	9536
388	6059	9517
389	6072	9498
390	6086	9479
391	6099	9460
392	6112	9441
393	6126	9422
394	6139	9402
395	6152	9383
396	6165	9364
397	6178	9345
398	6191	9326
399	6204	9307
400	6218	9288
401	6231	9269
402	6244	9251
403	6258	9232
404	6271	9214
405	6285	9195
406	6300	9179
407	6315	9162
408	6329	9146
409	6343	9129
410	6368	9127
411	6384	9111
412	6399	9095
413	6414	9080
414	6429	9063
415	6444	9046
416	6458	9029
417	6473	9012
418	6487	8996
419	6501	8978
420	6516	8962
421	6531	8945
422	6544	8927
423	6557	8908
424	6571	8890
425	6584	8872
426	6598	8854
427	6611	8835
428	6624	8817
429	6638	8799
430	6651	8781
431	6665	8763
432	6678	8745
433	6691	8726
434	6704	8708
435	6718	8690
436	6731	8672
437	6744	8654
438	6758	8636
439	6771	8618
440	6784	8600
441	6798	8582
442	6811	8564
443	6824	8546
444	6838	8528
445	6851	8510
446	6865	8493
447	6878	8474
448	6891	8457
449	6904	8438
450	6918	8421
451	6931	8403
452	6959	8403
453	6974	8387
454	6988	8370
455	7001	8352
456	7015	8335
457	7028	8317
458	7041	8299
459	7054	8281
460	7068	8264
461	7081	8246
462	7094	8228
463	7108	8211
464	7121	8193
465	7134	8175
466	7148	8158
467	7161	8141
