iter	Logloss	Recall	Precision	Accuracy
0	0.6836017292	0.9159663866	0.7414965986	0.7348066298
1	0.6724647189	0.9537815126	0.7694915254	0.7817679558
2	0.6614225539	0.9831932773	0.7905405405	0.817679558
3	0.6528060597	0.9789915966	0.7740863787	0.7983425414
4	0.64412745	0.987394958	0.780730897	0.8093922652
5	0.6354422021	0.9957983193	0.7796052632	0.8121546961
6	0.6247085186	0.9957983193	0.797979798	0.8314917127
7	0.6163151305	0.9957983193	0.797979798	0.8314917127
8	0.6084286956	0.9915966387	0.7919463087	0.8232044199
9	0.6007995379	0.9957983193	0.8006756757	0.8342541436
10	0.5916979124	0.9957983193	0.8006756757	0.8342541436
11	0.5847289198	0.9957983193	0.7953020134	0.8287292818
12	0.5769805186	0.9957983193	0.7953020134	0.8287292818
13	0.5716862547	0.9957983193	0.8116438356	0.8453038674
14	0.5642548104	0.9957983193	0.8116438356	0.8453038674
15	0.5578305698	0.9957983193	0.8172413793	0.8508287293
16	0.5512314457	1	0.8206896552	0.8563535912
17	0.5452514186	1	0.8178694158	0.8535911602
18	0.5396267651	1	0.8178694158	0.8535911602
19	0.5340146866	1	0.8206896552	0.8563535912
20	0.5288733261	1	0.8350877193	0.8701657459
21	0.5227286985	1	0.8350877193	0.8701657459
22	0.5161219143	1	0.846975089	0.8812154696
23	0.5112836143	1	0.846975089	0.8812154696
24	0.5071212674	1	0.8439716312	0.8784530387
25	0.5014062926	1	0.8350877193	0.8701657459
26	0.49577072	1	0.85	0.8839779006
27	0.4902283688	1	0.8561151079	0.8895027624
28	0.4860408452	1	0.846975089	0.8812154696
29	0.4815865047	1	0.8592057762	0.8922651934
30	0.4751426423	1	0.8717948718	0.9033149171
31	0.470206021	1	0.8686131387	0.9005524862
32	0.4664397429	1	0.8654545455	0.8977900552
33	0.4609790536	1	0.8717948718	0.9033149171
34	0.4572773712	1	0.8717948718	0.9033149171
35	0.4531359745	1	0.8717948718	0.9033149171
36	0.4495087496	1	0.8782287823	0.908839779
37	0.4465122993	1	0.8686131387	0.9005524862
38	0.4423594478	1	0.875	0.9060773481
39	0.4370752814	1	0.8717948718	0.9033149171
40	0.4319045012	1	0.875	0.9060773481
41	0.427304101	1	0.8782287823	0.908839779
42	0.4238882693	1	0.8782287823	0.908839779
43	0.4197737216	1	0.8782287823	0.908839779
44	0.4164131987	1	0.8814814815	0.9116022099
45	0.4125070113	0.9957983193	0.8843283582	0.9116022099
46	0.4071744969	0.9957983193	0.8943396226	0.9198895028
47	0.4033742037	0.9957983193	0.8977272727	0.9226519337
48	0.4009669036	0.9957983193	0.8977272727	0.9226519337
49	0.3976898183	0.9957983193	0.8977272727	0.9226519337
50	0.3943122879	1	0.9049429658	0.9309392265
51	0.3902978082	0.9957983193	0.9011406844	0.9254143646
52	0.3872510834	0.9957983193	0.9045801527	0.9281767956
53	0.3839048452	1	0.9049429658	0.9309392265
54	0.3792370391	1	0.9015151515	0.9281767956
55	0.3753088472	1	0.9118773946	0.9364640884
56	0.3721460361	1	0.9118773946	0.9364640884
57	0.368455675	1	0.9153846154	0.9392265193
58	0.3645924734	1	0.9189189189	0.9419889503
59	0.3605857518	1	0.9224806202	0.9447513812
60	0.3564661126	1	0.9260700389	0.9475138122
61	0.353247749	1	0.9296875	0.9502762431
62	0.3497605267	1	0.9296875	0.9502762431
63	0.348060104	1	0.937007874	0.955801105
64	0.3452041714	1	0.9407114625	0.9585635359
65	0.3418486447	1	0.9407114625	0.9585635359
66	0.3378843001	1	0.9482071713	0.9640883978
67	0.3354670942	1	0.9482071713	0.9640883978
68	0.331867049	1	0.952	0.9668508287
69	0.3293545701	1	0.952	0.9668508287
70	0.3258363674	1	0.9558232932	0.9696132597
71	0.3233425618	1	0.9596774194	0.9723756906
72	0.3209013464	1	0.9596774194	0.9723756906
73	0.3176973979	1	0.9596774194	0.9723756906
74	0.3143358935	1	0.963562753	0.9751381215
75	0.3121629242	1	0.963562753	0.9751381215
76	0.3104064105	1	0.963562753	0.9751381215
77	0.3083478523	1	0.963562753	0.9751381215
78	0.3060973272	1	0.9596774194	0.9723756906
79	0.3047398992	1	0.9596774194	0.9723756906
80	0.3032906475	1	0.9596774194	0.9723756906
81	0.3005248017	1	0.9596774194	0.9723756906
82	0.2985786659	1	0.9596774194	0.9723756906
83	0.2967945044	1	0.9596774194	0.9723756906
84	0.2934536506	1	0.9596774194	0.9723756906
85	0.291745561	1	0.963562753	0.9751381215
86	0.2889166683	1	0.963562753	0.9751381215
87	0.2863918788	1	0.963562753	0.9751381215
88	0.2840777539	1	0.963562753	0.9751381215
89	0.2823719468	1	0.963562753	0.9751381215
90	0.280291846	1	0.963562753	0.9751381215
91	0.2775805498	1	0.963562753	0.9751381215
92	0.2755210285	1	0.9714285714	0.9806629834
93	0.2737199378	1	0.9714285714	0.9806629834
94	0.2718234384	1	0.9714285714	0.9806629834
95	0.2699744058	1	0.9714285714	0.9806629834
96	0.2673386056	1	0.9714285714	0.9806629834
97	0.2654134017	1	0.9674796748	0.9779005525
98	0.2623461928	1	0.9714285714	0.9806629834
99	0.2614212635	1	0.9714285714	0.9806629834
100	0.2597409669	1	0.9754098361	0.9834254144
101	0.2583312069	1	0.9754098361	0.9834254144
102	0.2565961045	1	0.9754098361	0.9834254144
103	0.2558537206	1	0.9754098361	0.9834254144
104	0.2542666901	1	0.9754098361	0.9834254144
105	0.2522557755	1	0.9754098361	0.9834254144
