iter	Passed	Remaining
0	18	18298
1	31	15884
2	49	16296
3	117	29326
4	136	27110
5	155	25730
6	177	25241
7	195	24278
8	215	23702
9	236	23437
10	261	23488
11	282	23220
12	298	22647
13	314	22139
14	329	21627
15	343	21138
16	356	20635
17	370	20191
18	383	19825
19	397	19471
20	410	19160
21	424	18889
22	438	18613
23	451	18373
24	465	18141
25	478	17919
26	491	17707
27	505	17554
28	519	17402
29	533	17249
30	547	17127
31	562	17010
32	593	17386
33	608	17285
34	623	17188
35	638	17105
36	654	17026
37	669	16941
38	686	16919
39	703	16883
40	718	16815
41	734	16753
42	749	16682
43	763	16588
44	777	16509
45	792	16429
46	806	16344
47	821	16298
48	837	16252
49	852	16197
50	867	16146
51	883	16099
52	898	16061
53	913	16007
54	929	15971
55	945	15931
56	961	15898
57	976	15861
58	992	15823
59	1007	15790
60	1027	15815
61	1048	15870
62	1063	15823
63	1085	15870
64	1205	17341
65	1283	18160
66	1304	18160
67	1334	18287
68	1347	18182
69	1360	18079
70	1373	17973
71	1386	17876
72	1400	17783
73	1414	17694
74	1427	17608
75	1440	17515
76	1454	17431
77	1467	17344
78	1480	17259
79	1493	17179
80	1508	17112
81	1522	17043
82	1535	16965
83	1549	16892
84	1562	16821
85	1575	16744
86	1588	16675
87	1602	16604
88	1616	16543
89	1629	16476
90	1643	16412
91	1656	16347
92	1669	16283
93	1683	16221
94	1696	16164
95	1709	16102
96	1723	16048
97	1748	16093
98	1761	16034
99	1775	15978
100	1788	15920
101	1802	15864
102	1815	15813
103	1829	15761
104	1842	15708
105	1856	15655
106	1869	15603
107	1882	15549
108	1895	15498
109	1909	15446
110	1922	15399
111	1936	15353
112	1949	15306
113	1963	15259
114	1976	15211
115	1989	15164
116	2004	15124
117	2017	15082
118	2031	15038
119	2044	14994
120	2058	14952
121	2071	14908
122	2085	14867
123	2098	14823
124	2112	14784
125	2125	14744
126	2138	14703
127	2152	14664
128	2166	14625
129	2179	14586
130	2193	14549
131	2206	14508
132	2220	14472
133	2233	14436
134	2247	14398
135	2264	14388
136	2333	14698
137	2351	14687
138	2369	14678
139	2394	14710
140	2408	14670
141	2421	14631
142	2435	14593
143	2448	14556
144	2461	14516
145	2477	14490
146	2493	14466
147	2506	14430
148	2519	14392
149	2533	14355
150	2546	14318
151	2560	14283
152	2573	14247
153	2586	14211
154	2600	14176
155	2614	14142
156	2627	14107
157	2640	14071
158	2654	14038
159	2668	14007
160	2681	13973
161	2694	13940
162	2708	13906
163	2721	13873
164	2734	13839
165	2748	13806
166	2761	13773
167	2774	13741
168	2789	13716
169	2816	13749
170	2829	13719
171	2844	13691
172	2857	13659
173	2870	13627
174	2883	13594
175	2897	13564
176	2910	13532
177	2923	13500
178	2936	13470
179	2951	13447
180	2965	13420
181	2979	13391
182	2996	13378
183	3010	13351
184	3025	13327
185	3039	13302
186	3053	13273
187	3067	13248
188	3083	13233
189	3102	13224
190	3122	13225
191	3146	13243
192	3165	13235
193	3183	13224
194	3200	13212
195	3218	13201
196	3234	13184
197	3251	13171
198	3272	13172
199	3289	13159
200	3306	13145
201	3348	13227
202	3413	13401
203	3434	13402
204	3464	13434
205	3485	13435
206	3503	13421
207	3522	13412
208	3540	13400
209	3559	13389
210	3576	13374
211	3594	13359
212	3611	13343
213	3628	13327
214	3645	13310
215	3662	13293
