iter	Logloss	Recall	Precision	Accuracy
0	0.6824902382	0.8870292887	0.7571428571	0.739010989
1	0.6706728471	0.9539748954	0.7755102041	0.7884615385
2	0.659403847	0.9623430962	0.7718120805	0.7884615385
3	0.6510975567	0.9874476987	0.7687296417	0.7967032967
4	0.6410522474	0.9832635983	0.7912457912	0.8186813187
5	0.6314430209	0.9958158996	0.7959866221	0.8296703297
6	0.6206072579	0.9958158996	0.8040540541	0.8379120879
7	0.6114460984	0.9958158996	0.8095238095	0.8434065934
8	0.6020081725	0.9958158996	0.806779661	0.8406593407
9	0.5932365686	1	0.8184931507	0.8543956044
10	0.5848375813	1	0.8156996587	0.8516483516
11	0.5761384197	0.9958158996	0.8263888889	0.8598901099
12	0.5701579501	1	0.8298611111	0.8653846154
13	0.5608478922	1	0.8298611111	0.8653846154
14	0.5529353071	1	0.8385964912	0.8736263736
15	0.5451296987	1	0.8385964912	0.8736263736
16	0.5375235554	0.9958158996	0.8350877193	0.8681318681
17	0.5306939181	0.9958158996	0.846975089	0.8791208791
18	0.5250757097	0.9958158996	0.85	0.8818681319
19	0.520423951	0.9958158996	0.85	0.8818681319
20	0.5129235012	0.9958158996	0.846975089	0.8791208791
21	0.5083168905	0.9958158996	0.8409893993	0.8736263736
22	0.4982643927	1	0.8628158845	0.8956043956
23	0.4932752297	1	0.8597122302	0.8928571429
24	0.4866307297	1	0.8628158845	0.8956043956
25	0.4788549435	1	0.865942029	0.8983516484
26	0.4729726247	1	0.8628158845	0.8956043956
27	0.466664433	1	0.8722627737	0.9038461538
28	0.4608388405	1	0.8722627737	0.9038461538
29	0.4549114137	1	0.865942029	0.8983516484
30	0.4501226669	1	0.8819188192	0.9120879121
31	0.4440437295	1	0.8819188192	0.9120879121
32	0.4393275609	1	0.8917910448	0.9203296703
33	0.433745865	1	0.8884758364	0.9175824176
34	0.4291653129	1	0.8819188192	0.9120879121
35	0.4228430381	1	0.8884758364	0.9175824176
36	0.4179885924	1	0.8917910448	0.9203296703
37	0.4149101199	1	0.8917910448	0.9203296703
38	0.4103135938	1	0.8984962406	0.9258241758
39	0.4071273964	1	0.8951310861	0.9230769231
40	0.4032325645	1	0.9053030303	0.9313186813
41	0.3987879301	1	0.9122137405	0.9368131868
42	0.3941475492	1	0.9122137405	0.9368131868
43	0.390091929	1	0.9122137405	0.9368131868
44	0.3870303148	1	0.9122137405	0.9368131868
45	0.3842149767	1	0.9122137405	0.9368131868
46	0.3794129422	1	0.9192307692	0.9423076923
47	0.375721953	1	0.9227799228	0.9450549451
48	0.371853182	1	0.9263565891	0.9478021978
49	0.3683138519	1	0.937254902	0.956043956
50	0.3637144653	1	0.93359375	0.9532967033
51	0.360609783	1	0.93359375	0.9532967033
52	0.3572064139	1	0.9409448819	0.9587912088
53	0.353637076	1	0.9299610895	0.9505494505
54	0.3508266341	1	0.9409448819	0.9587912088
55	0.3477278899	1	0.9446640316	0.9615384615
56	0.3451733933	1	0.9484126984	0.9642857143
57	0.3418362016	1	0.9409448819	0.9587912088
58	0.3386619954	1	0.9484126984	0.9642857143
59	0.3351323646	1	0.9446640316	0.9615384615
60	0.3327432821	1	0.9484126984	0.9642857143
61	0.330284556	1	0.9484126984	0.9642857143
62	0.327776929	1	0.9521912351	0.967032967
63	0.3250793903	1	0.956	0.9697802198
64	0.3224123662	1	0.956	0.9697802198
65	0.3202237254	1	0.9598393574	0.9725274725
66	0.316636891	1	0.9598393574	0.9725274725
67	0.3139656063	1	0.9598393574	0.9725274725
68	0.311565072	1	0.9637096774	0.9752747253
69	0.3093429807	1	0.967611336	0.978021978
70	0.306914217	1	0.967611336	0.978021978
71	0.3043005807	1	0.967611336	0.978021978
72	0.3012324619	1	0.9715447154	0.9807692308
73	0.2997797248	1	0.9755102041	0.9835164835
74	0.2968425673	1	0.9755102041	0.9835164835
75	0.2941940008	1	0.9795081967	0.9862637363
76	0.2926412923	1	0.9795081967	0.9862637363
77	0.2901844034	1	0.9795081967	0.9862637363
78	0.2870092029	1	0.9795081967	0.9862637363
79	0.2846706736	1	0.9795081967	0.9862637363
80	0.2828885612	1	0.9835390947	0.989010989
81	0.2813036833	1	0.9835390947	0.989010989
82	0.2775428971	1	0.9835390947	0.989010989
83	0.2754676377	1	0.9835390947	0.989010989
84	0.2733399979	1	0.9876033058	0.9917582418
85	0.2703965666	1	0.9876033058	0.9917582418
86	0.2679855407	1	0.9876033058	0.9917582418
87	0.2656680721	1	0.9917012448	0.9945054945
88	0.2639884793	1	0.9958333333	0.9972527473
89	0.2618753762	1	0.9958333333	0.9972527473
90	0.2597142762	1	0.9958333333	0.9972527473
91	0.2565395112	1	0.9958333333	0.9972527473
92	0.253889115	1	0.9958333333	0.9972527473
93	0.2519341424	1	0.9958333333	0.9972527473
94	0.2497441707	1	0.9958333333	0.9972527473
95	0.2475173971	1	0.9958333333	0.9972527473
96	0.2440113045	1	0.9958333333	0.9972527473
97	0.2425364756	1	0.9958333333	0.9972527473
98	0.2408392649	1	0.9958333333	0.9972527473
99	0.2398694798	1	0.9958333333	0.9972527473
100	0.2379721172	1	0.9958333333	0.9972527473
101	0.2360499311	1	0.9958333333	0.9972527473
102	0.2347174953	1	1	1
103	0.2334747461	1	1	1
104	0.231578069	1	1	1
105	0.2300001128	1	1	1
106	0.2277388321	1	1	1
107	0.2258028812	1	1	1
108	0.2242338784	1	1	1
109	0.2222678114	1	1	1
110	0.2201083145	1	1	1
111	0.2185766006	1	1	1
112	0.2167507754	1	1	1
113	0.2156571676	1	1	1
114	0.2138928699	1	1	1
115	0.212590664	1	1	1
116	0.2121341243	1	1	1
117	0.2105441801	1	1	1
118	0.2082682048	1	1	1
119	0.2073176982	1	1	1
120	0.2059660872	1	1	1
121	0.2041807899	1	1	1
122	0.2028735403	1	1	1
123	0.2012987105	1	1	1
124	0.1991202256	1	1	1
125	0.1975142553	1	1	1
126	0.1960211994	1	1	1
127	0.1948574645	1	1	1
128	0.1934031549	1	1	1
129	0.1914118303	1	1	1
130	0.1898687861	1	1	1
131	0.1883680768	1	1	1
132	0.1871252778	1	1	1
133	0.1851539961	1	1	1
134	0.1830585683	1	1	1
135	0.1816660392	1	1	1
136	0.180295821	1	1	1
137	0.1791930541	1	1	1
138	0.1777477999	1	1	1
139	0.1766140464	1	1	1
140	0.1753115892	1	1	1
141	0.1737382348	1	1	1
142	0.1729174335	1	1	1
143	0.1719023007	1	1	1
144	0.1709730227	1	1	1
145	0.1695715579	1	1	1
146	0.1685092943	1	1	1
147	0.1670715769	1	1	1
148	0.1655633405	1	1	1
149	0.1643406124	1	1	1
150	0.1634160585	1	1	1
151	0.1622365357	1	1	1
152	0.1608228555	1	1	1
153	0.1596345894	1	1	1
154	0.1584193268	1	1	1
155	0.1571326943	1	1	1
156	0.1559131814	1	1	1
157	0.1548570099	1	1	1
158	0.1535257245	1	1	1
159	0.1521762003	1	1	1
160	0.1510082544	1	1	1
161	0.1496782209	1	1	1
162	0.1480687369	1	1	1
