iter	Passed	Remaining
0	493	493313
1	563	281384
2	592	196990
3	620	154626
4	648	129110
5	676	112018
6	703	99839
7	732	90874
8	758	83505
9	785	77793
10	806	72551
11	826	68046
12	849	64465
13	872	61457
14	896	58882
15	922	56715
16	948	54826
17	973	53092
18	992	51240
19	1012	49593
20	1044	48699
21	1063	47269
22	1088	46224
23	1107	45035
24	1127	43978
25	1151	43130
26	1170	42174
27	1192	41411
28	1212	40585
29	1231	39824
30	1250	39095
31	1269	38407
32	1289	37774
33	1329	37763
34	1349	37205
35	1369	36669
36	1389	36167
37	1409	35694
38	1428	35189
39	1604	38498
40	1676	39222
41	1719	39221
42	1773	39468
43	1826	39682
44	1889	40101
45	1935	40142
46	2000	40564
47	2030	40274
48	2071	40199
49	2104	39979
50	2149	40003
51	2189	39907
52	2215	39591
53	2249	39412
54	2276	39116
55	2300	38777
56	2357	38994
57	2379	38647
58	2405	38365
59	2426	38012
60	2457	37836
61	2479	37506
62	2498	37164
63	2520	36855
64	2540	36542
65	2562	36259
66	2588	36039
67	2614	35830
68	2636	35578
69	2707	35977
70	2916	38155
71	2943	37943
72	2969	37711
73	3002	37570
74	3042	37523
75	3058	37181
76	3080	36926
77	3096	36601
78	3127	36461
79	3147	36195
80	3164	35907
81	3182	35623
82	3195	35307
83	3212	35029
84	3227	34745
85	3256	34606
86	3276	34388
87	3292	34120
88	3317	33957
89	3338	33754
90	3353	33498
91	3376	33328
92	3391	33080
93	3408	32850
94	3422	32607
95	3440	32396
96	3455	32165
97	3470	31939
98	3486	31732
99	3500	31501
100	3513	31274
101	3529	31072
102	3545	30879
103	3559	30668
104	3576	30482
105	3589	30273
106	3602	30068
107	3616	29869
108	3632	29697
109	3646	29501
110	3659	29307
111	3672	29121
112	3686	28936
113	3700	28756
114	3713	28579
115	3727	28403
116	3741	28236
117	3760	28108
118	3778	27971
119	3791	27804
120	3804	27640
121	3818	27480
122	3832	27326
123	3846	27175
124	3859	27019
125	3873	26866
126	3913	26898
127	3986	27159
128	4005	27042
129	4024	26933
130	4046	26843
131	4087	26879
132	4118	26849
133	4155	26853
134	4183	26805
135	4210	26751
136	4256	26811
137	4270	26675
138	4283	26534
139	4314	26505
140	4328	26369
141	4341	26234
142	4355	26102
143	4370	25980
144	4384	25852
145	4398	25725
146	4411	25599
147	4430	25503
148	4444	25386
149	4458	25265
150	4472	25146
151	4490	25049
152	4504	24935
153	4518	24821
154	4531	24706
155	4546	24595
156	4559	24484
157	4573	24374
158	4587	24263
159	4601	24158
160	4619	24070
161	4632	23965
162	4646	23860
163	4661	23764
164	4678	23677
165	4692	23575
166	4706	23474
167	4719	23373
168	4733	23275
169	4746	23176
170	4761	23082
171	4776	22991
172	4795	22925
173	4816	22863
174	4830	22773
175	4844	22682
176	4858	22590
177	4872	22499
178	4885	22408
179	4900	22322
180	4914	22236
181	4930	22160
182	4945	22081
183	4959	21995
184	4976	21922
185	5064	22163
186	5084	22105
187	5103	22041
188	5127	22001
189	5154	21975
190	5180	21943
191	5194	21859
192	5208	21779
193	5222	21698
194	5235	21615
195	5250	21535
196	5264	21457
197	5308	21500
198	5329	21450
199	5345	21382
200	5363	21320
201	5378	21246
202	5392	21170
203	5407	21097
204	5421	21025
205	5436	20954
206	5560	21300
207	5602	21331
208	5627	21299
209	5660	21294
210	5684	21256
211	5711	21230
212	5740	21210
213	5761	21162
214	5790	21141
215	5811	21093
216	5844	21088
217	5877	21083
218	5898	21034
219	5912	20962
220	5929	20901
221	5942	20826
222	5961	20772
223	5976	20705
224	6001	20671
225	6018	20610
226	6035	20551
227	6050	20487
228	6068	20431
229	6248	20919
230	6267	20865
231	6287	20813
232	6308	20766
233	6340	20754
234	6370	20737
235	6408	20744
236	6435	20717
237	6463	20692
238	6492	20672
239	6536	20700
240	6550	20630
241	6565	20563
242	6581	20503
243	6596	20438
244	6610	20370
245	6623	20302
246	6637	20235
247	6651	20168
248	6664	20101
249	6678	20034
250	6691	19969
251	6709	19914
252	6723	19851
253	6737	19787
254	6758	19745
255	6780	19705
256	6799	19657
257	6818	19609
258	6834	19552
259	6847	19489
260	6861	19428
261	6876	19369
262	6896	19324
263	6912	19272
264	6926	19211
265	6940	19151
266	6953	19089
267	6966	19029
268	6980	18968
269	6993	18908
270	7006	18849
271	7023	18796
272	7042	18755
273	7059	18705
274	7076	18657
275	7092	18603
276	7105	18547
277	7119	18491
278	7134	18435
279	7147	18380
280	7161	18324
281	7175	18269
282	7189	18214
283	7202	18158
284	7221	18118
285	7235	18062
286	7287	18104
287	7349	18170
288	7368	18129
289	7388	18088
290	7407	18047
291	7431	18019
292	7458	17996
293	7480	17962
294	7494	17910
295	7508	17857
296	7521	17804
297	7535	17752
298	7550	17702
299	7564	17651
300	7579	17601
301	7593	17549
302	7607	17499
303	7620	17447
304	7634	17397
305	7649	17348
306	7663	17298
307	7676	17247
308	7690	17197
309	7704	17148
310	7718	17099
311	7731	17049
312	7746	17001
313	7760	16953
314	7774	16907
315	7794	16871
316	7810	16828
317	7828	16789
318	7848	16754
319	7863	16710
320	7882	16674
321	7900	16635
322	7917	16594
323	7936	16558
324	7954	16520
325	7970	16477
326	7984	16432
327	7997	16385
328	8011	16339
329	8025	16293
330	8039	16248
331	8053	16203
332	8067	16158
333	8089	16130
334	8105	16089
335	8119	16045
336	8135	16005
337	8149	15961
338	8162	15916
339	8176	15872
340	8190	15827
341	8203	15783
342	8217	15740
343	8231	15696
344	8244	15652
345	8258	15609
346	8282	15587
347	8297	15545
348	8310	15502
349	8324	15459
350	8378	15491
351	8437	15533
352	8456	15499
353	8476	15467
354	8496	15436
355	8524	15421
356	8551	15403
357	8578	15383
358	8606	15367
359	8635	15351
360	8662	15333
361	8703	15338
362	8717	15297
363	8730	15254
364	8744	15212
365	8757	15169
366	8771	15128
367	8784	15086
368	8798	15045
369	8811	15003
370	8825	14962
371	8838	14921
372	8852	14881
373	8866	14841
374	8880	14800
375	8893	14759
376	8907	14719
377	8920	14678
378	8934	14639
379	8948	14600
380	8961	14560
381	8975	14520
382	8989	14481
383	9003	14442
384	9017	14404
385	9030	14365
386	9044	14326
387	9058	14287
388	9071	14248
