iter	Logloss	Recall	Precision
0	0.6851648329	0.8222996516	0.7612903226
1	0.6762065214	0.93728223	0.7598870056
2	0.6650113464	0.9721254355	0.7685950413
3	0.6560716045	0.9790940767	0.7635869565
4	0.6471965083	0.9895470383	0.7780821918
5	0.6384273656	0.9895470383	0.7845303867
6	0.6304943648	0.9965156794	0.7835616438
7	0.6217942599	0.9965156794	0.7835616438
8	0.6141559911	1	0.7777777778
9	0.6064646344	0.9930313589	0.7894736842
10	0.596275754	0.9930313589	0.8073654391
11	0.5873048311	0.9930313589	0.8050847458
12	0.5803431955	0.9895470383	0.8
13	0.5736313906	0.9930313589	0.8028169014
14	0.5671938297	0.9930313589	0.7983193277
15	0.5609638349	0.9965156794	0.8101983003
16	0.5555181596	1	0.8107344633
17	0.5499065792	1	0.8130311615
18	0.5440485908	1	0.8130311615
19	0.5369964564	1	0.8107344633
20	0.5316796177	1	0.82
21	0.5263387804	1	0.8176638177
22	0.5194123951	1	0.8223495702
23	0.5137005277	1	0.8247126437
24	0.5082338916	1	0.8247126437
25	0.5038962856	1	0.8270893372
26	0.4990267319	1	0.8270893372
27	0.4932948943	1	0.831884058
28	0.4868333713	1	0.8343023256
29	0.4821024318	1	0.8416422287
30	0.4784425257	1	0.8416422287
31	0.4744668682	1	0.8391812865
32	0.4692164337	1	0.8441176471
33	0.4637876079	1	0.8541666667
34	0.4599740255	1	0.849112426
35	0.4569770157	1	0.849112426
36	0.4542943076	1	0.849112426
37	0.4499612526	1	0.8541666667
38	0.4451767227	1	0.8644578313
39	0.441720388	1	0.8670694864
40	0.4375206556	1	0.8644578313
41	0.4327764074	1	0.8696969697
42	0.4271995313	1	0.8723404255
43	0.4228116336	1	0.8723404255
44	0.4192786687	1	0.875
45	0.4167528022	1	0.8723404255
46	0.4122419962	1	0.877675841
47	0.4081431716	1	0.8913043478
48	0.4038949704	1	0.8913043478
49	0.4001060958	1	0.8940809969
50	0.3962542461	1	0.896875
51	0.3924808629	1	0.8996865204
52	0.3884546574	1	0.8996865204
53	0.3859074764	1	0.896875
54	0.3835331153	1	0.896875
55	0.3799857576	1	0.8996865204
56	0.377465213	1	0.9025157233
57	0.3741491414	1	0.9025157233
58	0.370984289	1	0.905362776
59	0.3674049776	1	0.905362776
60	0.3637557405	1	0.9082278481
61	0.3608451535	1	0.9111111111
62	0.3575201759	1	0.9140127389
63	0.3556955477	1	0.9082278481
64	0.3525944242	1	0.9082278481
65	0.3505260352	1	0.9111111111
66	0.3482365232	1	0.9082278481
67	0.3446660538	1	0.9169329073
68	0.3416300872	1	0.928802589
69	0.3397432937	1	0.9258064516
70	0.3370025574	1	0.9258064516
71	0.3356947098	1	0.928802589
72	0.3329403978	1	0.9258064516
73	0.3309993388	1	0.9258064516
74	0.3275515214	1	0.9318181818
75	0.3252817283	1	0.9348534202
76	0.3227936621	1	0.9379084967
77	0.3210272649	1	0.9409836066
78	0.3188027119	1	0.9409836066
79	0.3166577247	1	0.9440789474
80	0.3143002095	1	0.9409836066
81	0.3117556595	1	0.9440789474
82	0.3095162332	1	0.9503311258
83	0.3077653461	1	0.9471947195
84	0.3056176822	1	0.9503311258
85	0.303551091	1	0.9471947195
86	0.3015974192	1	0.9534883721
87	0.2991697135	1	0.9503311258
88	0.2976725965	1	0.9471947195
89	0.2943943264	1	0.9598662207
90	0.2917193909	1	0.9534883721
91	0.2903993967	1	0.9534883721
92	0.2878264954	1	0.9598662207
93	0.2864780087	1	0.9598662207
94	0.2838302116	1	0.9598662207
95	0.2819057383	1	0.9630872483
96	0.2802437664	1	0.9663299663
97	0.2774129451	1	0.9695945946
98	0.2750248173	1	0.9728813559
99	0.2734129879	1	0.9728813559
100	0.2718714394	1	0.9728813559
101	0.2701580786	1	0.9728813559
102	0.2689693692	1	0.9761904762
103	0.2669638596	1	0.9761904762
104	0.2648546706	1	0.9795221843
105	0.2629685458	1	0.9795221843
106	0.2610386685	1	0.9795221843
107	0.2596799334	1	0.9828767123
108	0.2581841079	1	0.9828767123
109	0.2564502404	1	0.9862542955
110	0.2542974325	1	0.9862542955
111	0.2525518047	1	0.9862542955
112	0.2507319135	1	0.9862542955
113	0.248895792	1	0.9862542955
114	0.2474844448	1	0.9862542955
115	0.245715571	1	0.9862542955
116	0.2437586918	1	0.9862542955
117	0.2422053667	1	0.9862542955
118	0.2401690196	1	0.9862542955
119	0.2389439068	1	0.9862542955
120	0.2374943129	1	0.9862542955
121	0.2357812544	1	0.9862542955
122	0.2339214894	1	0.9862542955
123	0.2322226773	1	0.9862542955
124	0.2311534249	1	0.9862542955
125	0.2300448076	1	0.9862542955
126	0.2288190192	1	0.9862542955
127	0.2272198573	1	0.9862542955
128	0.2259405717	1	0.9862542955
129	0.2243849417	1	0.9862542955
130	0.2231495474	1	0.9862542955
131	0.2214381491	1	0.9862542955
132	0.2202036678	1	0.9862542955
133	0.2187490178	1	0.9930795848
134	0.2174829327	1	0.9930795848
