iter	Passed	Remaining
0	19	19439
1	33	16509
2	46	15295
3	59	14775
4	72	14398
5	85	14245
6	99	14181
7	113	14103
8	127	14014
9	140	13923
10	153	13840
11	167	13765
12	180	13699
13	194	13674
14	207	13616
15	220	13567
16	233	13519
17	247	13493
18	272	14047
19	285	13984
20	299	13942
21	312	13897
22	325	13837
23	339	13801
24	352	13751
25	365	13698
26	379	13666
27	392	13620
28	405	13583
29	419	13548
30	432	13522
31	445	13482
32	459	13466
33	473	13441
34	486	13426
35	500	13402
36	514	13381
37	527	13361
38	541	13338
39	554	13316
40	568	13292
41	581	13271
42	595	13243
43	608	13218
44	621	13194
45	635	13177
46	648	13146
47	661	13120
48	674	13097
49	688	13077
50	702	13078
51	718	13107
52	732	13090
53	745	13063
54	758	13035
55	771	13012
56	785	12989
57	798	12969
58	853	13619
59	872	13669
60	891	13724
61	911	13797
62	925	13761
63	938	13727
64	951	13692
65	965	13661
66	978	13631
67	992	13598
68	1005	13566
69	1018	13536
70	1032	13506
71	1045	13479
72	1059	13452
73	1072	13420
74	1085	13393
75	1099	13362
76	1112	13336
77	1125	13308
78	1139	13281
79	1152	13254
80	1165	13225
81	1178	13197
82	1192	13171
83	1205	13148
84	1220	13134
85	1233	13107
86	1246	13086
87	1260	13063
88	1273	13037
89	1286	13010
90	1300	12991
91	1336	13189
92	1349	13165
93	1364	13153
94	1380	13153
95	1394	13130
96	1407	13103
97	1423	13100
98	1436	13076
99	1449	13049
100	1464	13032
101	1479	13028
102	1493	13002
103	1506	12978
104	1519	12952
105	1532	12928
106	1546	12906
107	1559	12881
108	1573	12860
109	1586	12836
110	1599	12810
111	1613	12789
112	1626	12764
113	1639	12743
114	1653	12722
115	1666	12699
116	1679	12677
117	1693	12657
118	1706	12634
119	1719	12613
120	1733	12591
121	1746	12569
122	1760	12550
123	1773	12529
124	1786	12506
125	1799	12483
126	1813	12463
127	1826	12445
128	1840	12424
129	1857	12432
130	1916	12714
131	1935	12730
132	1957	12758
133	1970	12735
134	1983	12711
135	1997	12686
136	2010	12665
137	2023	12641
138	2037	12620
139	2050	12597
140	2064	12576
141	2077	12555
142	2091	12532
143	2104	12510
144	2118	12490
145	2131	12470
146	2145	12450
147	2158	12428
148	2172	12407
149	2185	12386
150	2199	12365
151	2212	12342
152	2225	12322
153	2239	12302
154	2252	12280
155	2265	12258
156	2279	12239
157	2292	12218
158	2306	12198
159	2319	12175
160	2332	12157
161	2346	12138
162	2374	12191
163	2387	12169
164	2400	12150
165	2414	12131
166	2427	12109
167	2441	12090
168	2454	12071
169	2468	12052
170	2482	12033
171	2495	12012
172	2508	11993
173	2524	11982
174	2537	11961
175	2550	11942
176	2564	11923
177	2577	11903
178	2590	11883
179	2604	11866
180	2617	11845
181	2631	11827
182	2645	11810
183	2658	11790
184	2671	11769
185	2684	11749
186	2699	11736
187	2712	11717
188	2726	11699
189	2739	11680
190	2753	11663
191	2767	11644
192	2780	11627
193	2794	11609
194	2807	11591
195	2821	11572
196	2834	11553
197	2847	11535
198	2863	11524
199	2876	11505
200	2889	11487
201	2934	11590
202	2965	11643
203	2984	11646
204	3006	11660
205	3020	11641
206	3033	11621
207	3047	11604
208	3060	11583
209	3073	11563
210	3087	11545
211	3100	11525
212	3113	11505
213	3127	11486
214	3140	11468
215	3154	11449
216	3167	11430
217	3186	11429
218	3199	11409
219	3212	11389
220	3226	11371
221	3239	11352
222	3252	11334
223	3266	11315
224	3279	11296
225	3293	11278
226	3306	11258
227	3319	11239
228	3332	11220
229	3346	11203
230	3359	11185
231	3373	11167
232	3386	11148
